timestamp,open,high,low,close,volume
1704067200000,42283.58,42554.57,42261.02,42475.23,1271.68108
1704070800000,42475.23,42775,42431.65,42613.56,1196.37856
1704074400000,42613.57,42638.41,42500,42581.1,685.2198
1704078000000,42581.09,42586.64,42230.08,42330.49,794.80391
1704081600000,42330.5,42399.99,42209.46,42399.99,715.4176
1704085200000,42399.98,42406,42180.77,42234.01,736.53152
1704088800000,42234.01,42424.82,42208.68,42396.69,601.3725
1704092400000,42396.69,42500,42396.68,42492.46,653.67718
1704096000000,42492.46,42556.5,42452.58,42549.99,427.19365
1704099600000,42550,42699.32,42537.18,42649.69,879.62491
1704103200000,42649.69,42749.36,42628,42691.1,856.81851
1704106800000,42691.1,42762.39,42605.21,42690.2,785.16567
1704110400000,42690.21,42780,42611.45,42648.38,785.52851
1704114000000,42648.37,42748,42612.76,42715.54,497.2024
1704117600000,42715.54,42715.55,42580,42612.24,711.01152
1704121200000,42612.24,42847.07,42586.51,42783.05,942.70163
1704124800000,42783.05,42856,42664.42,42725.15,918.71056
1704128400000,42725.15,42824.9,42704.42,42812.7,677.33678
1704132000000,42812.71,43208.86,42812.7,43111.1,2143.30897
1704135600000,43111.1,43550,43103.64,43517.99,1947.61533
1704139200000,43517.98,43829.99,43510.71,43687.86,2905.07295
1704142800000,43687.85,43792.59,43480.76,43619.21,1541.59126
1704146400000,43619.22,43661.1,43361.6,43529.93,1024.36372
1704150000000,43529.94,44184.1,43529.93,44179.55,3475.97051
1704153600000,44179.55,45200,44148.34,45056,6986.25967
1704157200000,45056,45372.79,44686,44855.96,4397.86376
1704160800000,44855.96,45381.42,44855.95,45378.96,3016.04235
1704164400000,45378.96,45500,45131.1,45402.38,2693.12081
1704168000000,45402.38,45468.99,45170,45179.8,2268.27572
1704171600000,45179.8,45324.72,45121.96,45179.48,1617.2842
1704175200000,45179.48,45308.15,45130,45168.75,1390.33832
1704178800000,45168.75,45643.75,45168.74,45455.53,3112.52478
1704182400000,45455.52,45852.93,45326.6,45759.3,3323.21707
1704186000000,45759.3,45879.63,45631.1,45673.48,2096.46195
1704189600000,45673.48,45711.1,45431.52,45584.99,2069.22249
1704193200000,45585,45698.67,45200,45433.99,2538.49307
1704196800000,45433.99,45589.68,45271.04,45301.99,2128.11147
1704200400000,45302,45705.8,45264.39,45637.93,2253.76868
1704204000000,45637.92,45800,44970,45258.73,4553.21243
1704207600000,45258.73,45349.98,44833.33,45184.82,4301.03657
1704211200000,45184.83,45399.84,44890.11,45357.84,3052.23783
1704214800000,45357.84,45382.08,44950.48,44966.15,2540.00308
1704218400000,44966.16,45271.2,44944,45154.69,1806.0773
1704222000000,45154.7,45243,44790.96,45039.49,2347.28624
1704225600000,45039.49,45180.55,44742.96,44788.28,1940.02489
1704229200000,44788.27,45119.76,44600,45119.74,2043.74183
1704232800000,45119.74,45297.26,44840.01,44981.73,1591.57491
1704236400000,44981.72,45049.98,44802.01,44946.91,1080.22719
1704240000000,44946.91,45212.57,44862.11,45135.61,1410.31904
1704243600000,45135.61,45329.83,45102.72,45317.58,1166.18095
1704247200000,45317.58,45410.91,45211.73,45274.57,1434.81631
1704250800000,45274.57,45310,45151.91,45262.69,739.36966
1704254400000,45262.7,45272.16,45115.59,45183.45,796.786
1704258000000,45183.45,45294.11,45118.91,45172.13,849.38832
1704261600000,45172.12,45363.19,45160,45326.93,1264.55564
1704265200000,45326.92,45384.84,44940.93,45011.77,1780.38521
1704268800000,45011.77,45200,45001.1,45200,1462.95207
1704272400000,45200,45500,45185.39,45344.67,2006.28796
1704276000000,45344.66,45398.37,45045.95,45151.91,1918.59612
1704279600000,45151.91,45174.07,43500,43702.88,7849.69163
1704283200000,43702.89,43716,40750,42789.38,20155.46959
1704286800000,42789.39,42820.92,42310,42529.4,5587.0456
1704290400000,42529.4,42532,42050,42179.99,4566.2886
1704294000000,42180,43009.02,42175.14,43000.01,5175.34831
1704297600000,43000.01,43567.92,42773.34,42992.67,6973.81609
1704301200000,42992.68,43034.59,42600,42906,2945.17641
1704304800000,42906,43050,42000,42255.72,3314.04996
1704308400000,42255.72,43011.1,42161.1,42596.67,3662.29946
1704312000000,42596.66,42846.17,42518.7,42721.02,1931.53987
1704315600000,42721.02,42966.27,42581.1,42917.62,1692.53055
1704319200000,42917.61,42941.1,42596.24,42749.68,1385.88591
1704322800000,42749.69,42845.23,42591.09,42845.23,1125.77247
